year,gdppc
1820,2674.0
1821,2715.2
1822,2791.0
1823,2760.2
1824,2836.0
1825,2897.7
1826,2918.3
1827,2929.9
1828,2929.9
1829,2833.5
1830,3039.2
1831,3225.6
1832,3342.6
1833,3459.5
1834,3295.0
1835,3419.7
1836,3469.8
1837,3360.6
1838,3329.7
1839,3491.7
1840,3319.4
1841,3252.6
1842,3223.0
1843,3274.4
1844,3453.1
1845,3505.8
1846,3526.4
1847,3619.0
1848,3712.8
1849,3616.4
1850,3631.8
1851,3778.4
1852,3971.2
1853,4242.5
1854,4254.1
1855,4161.5
1856,4247.6
1857,4156.3
1858,4176.9
1859,4288.8
1860,4401.9
1861,4311.9
1862,4446.9
1863,4733.6
1864,4889.1
1865,4637.2
1866,4599.9
1867,4751.6
1868,4815.9
1869,4943.1
1870,4803.0
1871,4918.7
1872,4992.0
1873,5116.7
1874,4965.0
1875,5105.1
1876,5049.8
1877,5098.7
1878,5199.0
1879,5715.8
1880,6255.7
1881,6317.4
1882,6557.8
1883,6559.1
1884,6523.1
1885,6424.1
1886,6471.7
1887,6617.0
1888,6447.3
1889,6705.7
1890,6664.6
1891,6811.1
1892,7324.1
1893,6834.2
1894,6510.3
1895,7159.5
1896,6885.7
1897,7406.3
1898,7426.9
1899,7959.1
1900,8037.6
1901,8770.4
1902,8684.2
1903,8941.3
1904,8663.7
1905,9121.3
1906,9980.1
1907,9950.5
1908,8976.0
1909,9798.1
1910,9636.8
1911,9735.9
1912,9976.6
1913,10108.0
1914,9096.4
1915,9164.2
1916,10222.3
1917,9769.1
1918,10471.3
1919,10449.8
1920,10152.9
1921,9674.9
1922,10009.7
1923,11071.2
1924,11126.7
1925,11149.8
1926,11647.8
1927,11532.4
1928,11451.1
1929,11954.2
1930,10695.0
1931,9931.0
1932,8380.5
1933,8048.2
1934,8667.1
1935,9680.8
1936,10568.0
1937,11295.1
1938,10526.1
1939,11171.4
1940,12005.1
1941,13553.4
1942,14869.9
1943,16050.2
1944,16999.3
1945,16477.6
1946,14822.5
1947,14311.5
1948,14734.2
1949,14196.7
1950,15240.0
1951,16125.0
1952,16444.0
1953,16917.0
1954,16512.0
1955,17370.0
1956,17397.0
1957,17406.0
1958,16946.0
1959,17900.0
1960,18057.0
1961,18175.0
1962,18976.0
1963,19514.0
1964,20360.0
1965,21390.0
1966,22529.0
1967,22842.0
1968,23691.0
1969,24195.0
1970,23958.0
1971,24394.0
1972,25414.0
1973,26602.0
1974,26286.0
1975,25956.0
1976,27058.0
1977,28001.0
1978,29286.0
1979,29949.0
1980,29611.0
1981,30056.0
1982,29210.0
1983,30158.0
1984,32076.0
1985,33023.0
1986,33850.0
1987,34730.0
1988,35863.0
1989,36756.0
1990,36982.0
1991,36464.0
1992,37240.3
1993,37761.5
1994,38807.3
1995,39390.6
1996,40412.8
1997,41722.7
1998,43072.8
1999,44575.8
2000,45886.5
2001,45878.0
2002,46266.3
2003,47158.0
2004,48492.7
2005,49654.8
2006,50489.9
2007,50901.7
2008,50275.7
2009,48452.9
2010,49266.9
2011,49675.0
2012,50436.4
2013,51010.8
2014,51796.6
2015,52808.2
2016,53301.0
2017,54152.4
2018,55454.7
2019,56469.3
2020,54379.2
2021,57522.7
2022,58487.5
